uid,company,url,color,industry,location,,,,
84,china national petroleum,logo-china-national-petroleum.gif,red,,,,,,
85,china national petroleum,logo-china-national-petroleum.gif,yellow,,,,,,
86,chrome,Google_Chrome-logo-7700A796AE-seeklogo.com.gif,blue,technology,,,,,
87,chrome,Google_Chrome-logo-7700A796AE-seeklogo.com.gif,green,technology,,,,,
88,chrome,Google_Chrome-logo-7700A796AE-seeklogo.com.gif,red,technology,,,,,
89,chrome,Google_Chrome-logo-7700A796AE-seeklogo.com.gif,yellow,technology,,,,,
90,cisco,cisco-logo-DDA7EFD10D-seeklogo.com.gif,green,technology,,,,,
91,cisco,cisco-logo-DDA7EFD10D-seeklogo.com.gif,red,technology,,,,,
92,citi,logo-citigroup.gif,blue,financial,,,,,
93,citi,logo-citigroup.gif,red,financial,,,,,
94,ck,Calvin_Klein-logo-95378DA022-seeklogo.com.gif,gray,fashion,,,,,
95,coke,Coca-Cola-logo-D3CE7D7110-seeklogo.com.gif,red,beverage,,,,,
96,conoco,logo-conocophillips.gif,black,energy,,,,,
97,conoco,logo-conocophillips.gif,red,energy,,,,,
98,converse,Converse_All_Star-logo-356AE2F61A-seeklogo.com.gif,blue,activewear,,,,,
99,converse,Converse_All_Star-logo-356AE2F61A-seeklogo.com.gif,red,activewear,,,,,
100,converse,Converse_All_Star-logo-356AE2F61A-seeklogo.com.gif,white,activewear,,,,,
101,corona,Corona_Extra-logo-6464604160-seeklogo.com.gif,blue,beverage,,,,,
102,corona,Corona_Extra-logo-6464604160-seeklogo.com.gif,yellow,beverage,,,,,
103,costco,logo-costco.gif,blue,consumer goods,na,,,,
104,costco,logo-costco.gif,red,consumer goods,na,,,,
105,credit-agricole,logo-credit-agricole.gif,blue,financial,sa,,,,
106,credit-agricole,logo-credit-agricole.gif,green,financial,sa,,,,
107,credit-agricole,logo-credit-agricole.gif,red,financial,sa,,,,
108,credit-suisse,logo-credit-suisse.gif,blue,financial,global,,,,
109,credit-suisse,logo-credit-suisse.gif,blue,financial,global,,,,
110,cvs,logo-cvs-caremark.gif,red,consumer goods,na,,,,
111,D&G,Dolce__and__Gabbana-logo-5563F6AF1F-seeklogo.com.gif,black,fashion,global,,,,
112,daimler-blue,logo-daimler.gif,blue,automotive,global,,,,
113,dell-blue,Dell-logo-506C93E553-seeklogo.com.gif,blue,electronics,global,,,,
114,deutsche-bank,logo-deutsche-bank.gif,blue,financial,global,,,,
115,deutsche-post,logo-deutsche-post.gif,black,logistics,global,,,,
