HexNotation,Hue,Saturation,Value,HueSpectrum,ValueSpectrum,SaturationSpectrum
#FFB8DA,330.5542309,100,85.769077,Red/Purple,Lightest,Brightest
#F97F86,356.5256069,91.21420485,67.357103,Red/Purple,light,Brightest
#79697C,290.0683188,8.54749463,46.58218,Purple,Mid-Value,Dullest
#445F6F,202.2841732,24.21876798,38.991574,Green/Blue,Dark,Dull
#C1BAB1,31.07155288,11.63944552,76.009041,Orange,light,Dullest
#FFE364,49.15606821,100,90.648426,Orange/Yellow,Lightest,Brightest
#787572,26.7801472,2.852740418,49.490055,Red/Orange,Mid-Value,Dullest
#E7B0C9,332.8348135,54.11185797,77.679404,Red/Purple,light,Medium
#F99995,2.103337552,90.82793087,73.135106,Red,light,Brightest
#E0A278,24.45725427,62.91521638,71.783643,Red/Orange,light,Bright
#1A2C40,212.0893618,41.38344713,17.72823,Green/Blue,Darkest,Medium
#8D7D69,33.60864453,14.34027309,53.523021,Orange,Mid-Value,Dullest
#75585A,354.0050667,14.25665654,40.489563,Red/Purple,Dark,Dullest
#7B7575,358.4669539,2.361934544,49.912458,Red/Purple,Mid-Value,Dullest
#8C7169,13.93694424,14.43036542,50.233696,Red,Mid-Value,Dullest
#9158B1,278.5377953,36.74553684,47.436531,Purple,Mid-Value,Dull
#3C5C78,208.2846681,32.84786716,37.8504,Green/Blue,Dark,Dull
#60716F,172.1092805,8.276131671,46.529594,Green/Blue,Mid-Value,Dullest
#76AE8D,144.5942514,25.85745593,66.845004,Green,light,Dull
#6A4426,26.59759722,46.51144361,32.791791,Red/Orange,Dark,Medium
#A64668,338.6960066,40.38795544,43.61794,Red/Purple,Mid-Value,Dull
#2D3747,216.2351466,22.34855867,23.042566,Green/Blue,Dark,Dull
#2F3844,213.1188337,18.50629195,23.436609,Green/Blue,Dark,Dullest
#6D4B44,10.900819,22.85900536,35.638135,Red,Dark,Dull
#304862,211.6787499,33.86321798,29.870795,Green/Blue,Dark,Dull
#905538,19.47413378,43.41694806,42.438265,Red/Orange,Mid-Value,Medium
#C6AC8B,33.52464026,34.07509892,71.95479,Orange,light,Dull
#948E89,26.06611287,4.894176692,59.596271,Red/Orange,Mid-Value,Dullest
#314D68,209.3638122,35.84915569,32.071557,Green/Blue,Dark,Dull
#F386A0,345.5971396,81.96044866,68.583508,Red/Purple,light,Brightest
#61AA8A,154.281787,30.12896435,64.35712,Green,light,Dull
#53352A,15.97001442,32.17433232,25.57368,Red/Orange,Dark,Dull
#F5C2B9,8.720601236,76.85357642,82.783048,Red,Lightest,Bright
#18444A,187.9476713,50.80349549,26.357054,Green/Blue,Dark,Medium
#D2202D,355.6898412,73.49565862,45.720046,Red/Purple,Mid-Value,Bright
#84715D,30.95705546,17.30518452,48.989044,Orange,Mid-Value,Dullest
#FFF895,56.50162546,100,97.800603,Orange/Yellow,Lightest,Brightest
#60A9AB,181.6679334,31.32949816,65.05515,Green/Blue,light,Dull
#BAB5B1,27.13778214,5.890142526,74.174193,Red/Orange,light,Dullest
#E5D9CB,31.38387782,33.04719898,87.343549,Orange,Lightest,Dull
#9A918E,15.81658936,5.940362195,61.000724,Red/Orange,light,Dullest
#C899BA,317.751378,30.42489534,68.591693,Red/Purple,light,Dull
#E74930,8.017888508,79.42738523,54.109596,Red,Mid-Value,Bright
#9B5934,21.52720104,49.59774598,44.813741,Red/Orange,Mid-Value,Medium
#452C7D,258.6918727,47.27346931,25.742164,Blue,Dark,Medium
#005B8A,200.3021129,100,36.438287,Green/Blue,Dark,Brightest
#7E6B56,31.16389858,18.76751346,46.577412,Orange,Mid-Value,Dullest
#5B4731,31.21787396,29.45683987,31.984082,Orange,Dark,Dull
#77775A,61.2418131,13.96832729,49.637081,Yellow,Mid-Value,Dullest
#EBCCC7,8.817185835,47.26164387,84.702988,Red,Lightest,Medium
#FF6144,9.249225972,100,62.170471,Red,light,Brightest
#5F3227,10.96197957,41.1036893,26.519793,Red,Dark,Medium
#3E92BD,200.2860912,50.16312229,57.512605,Green/Blue,Mid-Value,Medium
#FF936D,15.52228318,100,75.99518,Red/Orange,light,Brightest
#B0A79D,32.25769252,11.14563712,69.242435,Orange,light,Dullest
#BF9975,29.03644713,37.11259465,66.106585,Red/Orange,light,Dull
#D59E57,33.95520773,59.90559353,69.100504,Orange,light,Medium
#265EA8,214.3410435,62.78908316,40.036726,Green/Blue,Dark,Bright
#5081B4,210.880934,40.09316644,52.775116,Green/Blue,Mid-Value,Dull
#78B6D2,198.7247814,50.27743397,71.024177,Green/Blue,light,Medium
#7F9679,106.5982402,12.34662379,59.886412,Yellow/Green,Mid-Value,Dullest
#938C8B,7.489813965,3.600359845,58.838343,Red,Mid-Value,Dullest
#E12C2E,359.2344352,75.40353461,49.588175,Red/Purple,Mid-Value,Bright
#E33925,6.091988265,77.6933267,51.283538,Red,Mid-Value,Bright
#808435,62.57985558,42.60124427,53.47765,Yellow,Mid-Value,Medium
#00504D,177.8645852,100,29.241024,Green/Blue,Dark,Brightest
#0A3442,195.2954663,73.05568,19.836441,Green/Blue,Darkest,Bright
#C3BB44,56.37691789,51.43552967,74.775523,Orange/Yellow,light,Medium
#AD1F44,344.5000508,69.2684631,38.4217,Red/Purple,Dark,Bright
#004E5E,190.3580983,100,29.753324,Green/Blue,Dark,Brightest
#7C3827,11.84247777,51.50361809,32.673397,Red,Dark,Medium
#E16C2C,21.42225566,75.5478579,59.18207,Red/Orange,Mid-Value,Bright
#1D2129,223.454859,16.18323323,12.838482,Green/Blue,Darkest,Dullest
#2B3A52,216.2597083,31.07282175,24.46135,Green/Blue,Dark,Dull
#00A4B3,184.7963013,100,61.605345,Green/Blue,light,Brightest
#09283C,203.6507657,72.20984149,15.224027,Green/Blue,Darkest,Bright
#512327,355.5052698,38.90638364,20.729674,Red/Purple,Darkest,Dull
#977D5D,33.12258625,23.71432688,54.257257,Orange,Mid-Value,Dull
#BA5E0E,28.20842132,85.92415106,50.276939,Red/Orange,Mid-Value,Brightest
#A45C2B,24.00032808,57.8324168,46.774962,Red/Orange,Mid-Value,Medium
#61504B,12.65887241,12.28785735,35.715316,Red,Dark,Dullest
#9B203C,346.0296655,65.78888097,34.80467,Red/Purple,Dark,Bright
#9CB5BC,192.8294872,19.72978797,72.267404,Green/Blue,light,Dullest
#E4895B,20.22069814,72.46852695,66.16656,Red/Orange,light,Bright
#00C1D6,185.9879254,100,71.002108,Green/Blue,light,Brightest
#655D5C,9.818497579,4.632989429,40.422529,Red,Dark,Dullest
#536471,206.596199,15.15514911,41.635561,Green/Blue,Mid-Value,Dullest
#9F6033,25.14854264,51.01573574,47.226795,Red/Orange,Mid-Value,Medium
#1B3654,212.143803,50.51189729,22.202602,Green/Blue,Dark,Medium
#F1E564,54.72025856,83.99782831,89.802486,Orange/Yellow,Lightest,Brightest
#6C6F51,66.18110467,15.40247022,46.141605,Yellow,Mid-Value,Dullest
#A7805F,27.38940513,29.48286015,56.734712,Red/Orange,Mid-Value,Dull
#E72C6D,339.0997076,79.82055163,51.844664,Red/Purple,Mid-Value,Bright
#B51A57,336.40209,74.25649498,40.122697,Red/Purple,Dark,Bright
#F2E3C9,36.93855903,62.92410851,90.910925,Orange,Lightest,Bright
#073F5E,201.3941313,85.45479114,25.035522,Green/Blue,Dark,Brightest
#003788,215.4847692,100,25.40282,Green/Blue,Dark,Brightest
