HexNotation,Hue,Saturation,Value,HueSpectrum,ValueSpectrum,SaturationSpectrum
#859099,206.5130168,9.171021761,59.527486,Green/Blue,Mid-Value,Dullest
#935C3E,21.43825945,40.87307735,44.85172,Red/Orange,Mid-Value,Dull
#9A7B66,24.96028146,20.52840327,54.214932,Red/Orange,Mid-Value,Dullest
#A26238,24.07721432,48.66238741,48.178736,Red/Orange,Mid-Value,Medium
#97542C,22.32770683,54.96563304,43.109144,Red/Orange,Mid-Value,Medium
#E5A889,20.28614342,64.19968631,74.124896,Red/Orange,light,Bright
#008087,183.00739,100,48.689576,Green/Blue,Mid-Value,Brightest
#D4B592,31.99665359,43.92371601,75.731839,Orange,light,Medium
#DA504B,2.018375613,65.86735627,53.254513,Red,Mid-Value,Bright
#B2373B,357.9895497,52.25998508,42.199572,Red/Purple,Mid-Value,Medium
#5C4775,267.5080912,24.59790134,34.246548,Blue,Dark,Dull
#006C42,156.742497,100,39.531406,Green,Dark,Brightest
#5D5281,253.3842804,22.30106624,37.927135,Blue,Dark,Dull
#807992,256.0459594,10.58465009,52.362102,Blue,Mid-Value,Dullest
#93895B,48.56591305,23.49510568,57.007644,Orange/Yellow,Mid-Value,Dull
#B48743,35.92305619,45.53349686,59.52822,Orange,Mid-Value,Medium
#C5AB54,45.93148864,49.86527868,70.773854,Orange/Yellow,light,Medium
#4E919F,190.1491131,34.02987791,56.757703,Green/Blue,Mid-Value,Dull
#9E395B,339.5714721,46.80981129,39.699268,Red/Purple,Dark,Medium
#1F2927,167.0229162,13.40485188,16.015099,Green,Darkest,Dullest
#725545,20.81050445,24.30327443,38.834515,Red/Orange,Dark,Dull
#A28554,38.04118195,31.51616117,57.364283,Orange,Mid-Value,Dull
#56918A,172.5199794,25.2875116,56.414311,Green/Blue,Mid-Value,Dull
#9CB191,99.22625231,17.55055566,70.169052,Yellow/Green,light,Dullest
#008055,159.7028497,100,47.036829,Green,Mid-Value,Brightest
#6B6529,55.2083371,44.03716855,42.435857,Orange/Yellow,Mid-Value,Medium
#656748,64.99335915,17.62052753,42.894013,Yellow,Mid-Value,Dullest
#376E6D,178.1588115,32.87190169,43.160999,Green/Blue,Mid-Value,Dull
#6D83A0,213.8139407,21.22571329,54.171241,Green/Blue,Mid-Value,Dull
#AB242D,356.1016159,64.94019531,38.099881,Red/Purple,Dark,Bright
#A5A273,56.27384418,21.97730487,66.120774,Orange/Yellow,light,Dull
#A08682,8.355643738,13.62730525,58.267876,Red,Mid-Value,Dullest
#64312C,5.31951203,38.73449647,27.048253,Red,Dark,Dull
#8D9D7B,88.40555604,14.94799122,62.79798,Yellow,light,Dullest
#981523,353.7118822,75.01157725,32.770515,Red/Purple,Dark,Bright
#E6C97D,43.08220368,68.49085406,81.998583,Orange,Lightest,Bright
#005A73,193.1323562,100,33.565796,Green/Blue,Dark,Brightest
#412E27,16.69589379,25.18698137,21.070838,Red/Orange,Dark,Dull
#1C1F27,225.0716069,15.71425053,11.876341,Green/Blue,Darkest,Dullest
#9A878B,345.8684976,8.502912483,58.28079,Red/Purple,Mid-Value,Dullest
#C8B3C2,316.5037766,15.91451603,75.293489,Red/Purple,light,Dullest
#AB9B90,25.24899406,13.97311034,65.209487,Red/Orange,light,Dullest
#7F8084,232.2297944,1.992560986,53.824016,Green/Blue,Mid-Value,Dullest
#8A6A51,26.10634204,25.76808984,47.402379,Red/Orange,Mid-Value,Dull
#979294,330.0602989,2.071131981,61.229279,Red/Purple,light,Dullest
#006B67,177.7091115,100,39.224946,Green/Blue,Dark,Brightest
#939CA5,209.3494082,9.1241505,64.141405,Green/Blue,light,Dullest
#584438,22.41802213,21.80746813,30.851683,Red/Orange,Dark,Dull
#B2A275,44.70792081,28.09000204,67.173687,Orange,light,Dull
#8E7460,26.1004445,19.55774451,50.959792,Red/Orange,Mid-Value,Dullest
#B39A83,28.23862945,23.89580929,65.350115,Red/Orange,light,Dull
#C25947,8.84218081,50.48031951,50.897906,Red,Mid-Value,Medium
#CF7648,20.46696242,58.43731247,58.746086,Red/Orange,Mid-Value,Medium
#C5536F,344.9416106,49.72916662,51.050574,Red/Purple,Mid-Value,Medium
#0F4545,179.5335917,64.57534096,26.406557,Green/Blue,Dark,Bright
#C43D81,329.9765152,53.58775734,47.992086,Red/Purple,Mid-Value,Medium
#DB9F25,40.16622814,72.08524677,69.679405,Orange,light,Bright
#8F7894,289.7766673,11.85248,53.561898,Purple,Mid-Value,Dullest
#3C5367,207.6032372,26.65014573,34.48347,Green/Blue,Dark,Dull
#BBA692,29.37986477,23.6775227,69.61551,Red/Orange,light,Dull
#72849F,216.0721569,19.461769,54.772593,Green/Blue,Mid-Value,Dullest
#524C4C,359.0663469,3.892329194,33.020209,Red/Purple,Dark,Dullest
#D7798E,346.8259904,54.31234714,61.851933,Red/Purple,light,Medium
#E47262,7.586001716,71.35569611,61.408471,Red,light,Bright
#E4ABA6,4.807908819,54.43311049,75.196734,Red,light,Medium
#44638A,213.4557702,34.08501833,41.426596,Green/Blue,Mid-Value,Dull
#991F3E,344.7369265,65.98810878,34.377426,Red/Purple,Dark,Bright
#A52D25,4.079833573,63.35145794,38.006306,Red,Dark,Bright
#B4511C,20.86666843,72.96989597,46.625368,Red/Orange,Mid-Value,Bright
#C8A47C,31.67633937,41.07068129,69.900411,Orange,light,Medium
#E3C47B,42.07582726,65.65702726,80.475195,Orange,light,Bright
#ACA39E,21.06886133,7.502354181,67.823132,Red/Orange,light,Dullest
#D97890,345.1481773,56.53778336,61.97742,Red/Purple,light,Medium
#6C6C7B,240.2164898,6.587368511,46.306557,Blue,Mid-Value,Dullest
#29355E,226.629214,38.64383907,23.216191,Green/Blue,Dark,Dull
#871F4F,332.447265,61.89563586,31.357673,Red/Purple,Dark,Bright
#BA6261,0.734760429,39.31580236,51.925757,Red,Mid-Value,Dull
#2A5567,198.2928547,41.31266008,33.981645,Green/Blue,Dark,Medium
#EBAA78,26.2707067,74.87823157,74.906562,Red/Orange,light,Bright
#E1582C,14.576183,75.74612952,55.53065,Red,Mid-Value,Bright
#C57D46,26.113593,52.28429026,59.208943,Red/Orange,Mid-Value,Medium
#184174,212.9703812,65.59526131,27.605898,Green/Blue,Dark,Bright
#51345E,281.8219302,28.94739883,26.886547,Purple,Dark,Dull
#696842,58.1747544,22.55294455,43.487739,Orange/Yellow,Mid-Value,Dull
#5B9AA4,187.8761084,28.44637684,60.099068,Green/Blue,Mid-Value,Dull
#404335,74.98027141,12.23111238,28.030743,Yellow,Dark,Dullest
#448082,181.5640907,31.14887336,50.033205,Green/Blue,Mid-Value,Dull
#694C3A,23.04177436,28.64901774,35.09124,Red/Orange,Dark,Dull
#714633,18.96557132,37.71011623,34.477137,Red/Orange,Dark,Dull
#743687,286.1985404,42.95809648,34.405749,Purple,Dark,Medium
#CD343D,356.4837439,60.74972866,46.791957,Red/Purple,Mid-Value,Medium
#6E1727,348.7864479,64.95250068,24.111961,Red/Purple,Dark,Bright
#C7968C,10.4041164,34.59863786,66.673811,Red,light,Dull
#A693A7,294.8904446,10.56970295,63.216879,Purple,light,Dullest
#9B6879,340.0884949,20.66191065,49.928754,Red/Purple,Mid-Value,Dullest
#681C34,341.6285752,56.66296325,23.961825,Red/Purple,Dark,Medium
#BDAD61,49.79659699,40.92432082,70.77124,Orange/Yellow,light,Dull
#5B364A,328.0216006,25.42476878,27.86346,Red/Purple,Dark,Dull
#756C42,49.53605103,27.31139897,45.667871,Orange/Yellow,Mid-Value,Dull
#BE8182,359.2100329,31.74012755,60.318749,Red/Purple,Mid-Value,Dull
#DCC291,38.94091705,52.30028473,79.586303,Orange,light,Medium
#907196,291.2141053,14.9661097,51.934066,Purple,Mid-Value,Dullest
#CC482C,10.40774238,64.06647504,49.269044,Red,Mid-Value,Bright
#385A7D,210.0578676,38.12257419,37.454516,Green/Blue,Dark,Dull
#7D2F27,5.264928872,51.77854073,30.90479,Red,Dark,Medium
#74733D,59.11524494,30.93824494,47.569967,Orange/Yellow,Mid-Value,Dull
#974B2F,16.35492789,52.31464176,41.221954,Red/Orange,Mid-Value,Medium
#8A2D5C,329.4777559,50.80693891,34.33764,Red/Purple,Dark,Medium
#EA9271,16.41632201,74.24197938,69.023478,Red/Orange,light,Bright
#B91824,355.6862016,76.27213349,39.920087,Red/Purple,Dark,Bright
#A97C52,29.33807558,34.60216844,55.791015,Red/Orange,Mid-Value,Dull
#5C2450,312.8823213,43.99780597,24.273116,Purple,Dark,Medium
#9C496D,333.5201225,36.36958803,42.776001,Red/Purple,Mid-Value,Dull
#BE4A4D,358.5786967,47.07098764,47.656118,Red/Purple,Mid-Value,Medium
#7F1429,348.6122471,71.79713076,27.457869,Red/Purple,Dark,Bright
#232430,235.5158825,15.69659062,14.8864,Green/Blue,Darkest,Dullest
#959889,72.87371625,7.051706689,62.543459,Yellow,light,Dullest
#7F8E81,130.7566431,6.225386959,57.585383,Green,Mid-Value,Dullest
#6F7292,233.8870491,14.09097861,49.135481,Green/Blue,Mid-Value,Dullest
#006D98,196.7705846,100,42.176026,Green/Blue,Mid-Value,Brightest
#BD748C,340.8526306,35.47233012,57.514125,Red/Purple,Mid-Value,Dull
#00697A,188.2293042,100,39.947769,Green/Blue,Dark,Brightest
#3E6E65,168.1296514,27.6854026,43.18196,Green,Mid-Value,Dull
#534D7C,248.1363017,23.20112939,35.446515,Blue,Dark,Dull
#50898C,182.2001333,27.22176727,53.789017,Green/Blue,Mid-Value,Dull
#093E78,211.4713733,86.09960016,26.420576,Green/Blue,Dark,Brightest
#AD6679,343.8297936,30.27746903,51.607972,Red/Purple,Mid-Value,Dull
#38255B,261.4214338,42.15060672,19.891339,Blue,Darkest,Medium
#8C7668,23.95462185,14.91263259,51.543772,Red/Orange,Mid-Value,Dullest
#979A98,130.9141464,1.66700811,63.617532,Green,light,Dullest
#AB9381,25.97036897,20.0050058,62.794634,Red/Orange,light,Dullest
#6E5042,20.01697441,24.75643206,37.087183,Red/Orange,Dark,Dull
#FF5EAA,331.5774006,100,65.809461,Red/Purple,light,Brightest
#143C61,208.4815977,65.4380806,24.729803,Green/Blue,Dark,Bright
#ECB3AF,3.516583543,62.27331638,78.057268,Red,light,Bright
#D5B19E,20.15821453,39.87445365,74.9606,Red/Orange,light,Dull
#8D1F40,342.2600333,63.32896075,31.933907,Red/Purple,Dark,Bright
#29627B,198.1398809,49.95622683,39.212473,Green/Blue,Dark,Medium
#CEA389,22.77175424,41.3624764,70.479639,Red/Orange,light,Medium
#D3B896,33.66392879,40.7999807,76.461438,Orange,light,Dull
#4D4F51,205.1970746,2.260286535,33.770812,Green/Blue,Dark,Dullest
#E0C7A4,35.05284671,49.19228152,81.58576,Orange,Lightest,Medium
#C7A897,21.05537858,29.91837716,71.213332,Red/Orange,light,Dull
#9A5741,14.89591153,40.17495183,44.649307,Red,Mid-Value,Dull
#AB978A,23.12578519,16.74316158,64.059515,Red/Orange,light,Dullest
#C69CB7,321.1249913,26.81645656,69.058585,Red/Purple,light,Dull
#82806F,53.84463828,7.784983137,53.495401,Orange/Yellow,Mid-Value,Dullest
#00425C,196.9624361,100,25.663847,Green/Blue,Dark,Brightest
#D0967D,17.88767343,47.61167483,67.162786,Red/Orange,light,Medium
#355777,209.5994557,37.96054828,35.923631,Green/Blue,Dark,Dull
#665B6D,277.6632271,9.358708585,40.433744,Purple,Dark,Dullest
#008D8A,179.0137907,100,51.851691,Green/Blue,Mid-Value,Brightest
#554471,262.3917778,25.06046909,32.539186,Blue,Dark,Dull
#AC6C46,22.22506619,41.86017522,52.067818,Red/Orange,Mid-Value,Medium
#ABB156,63.58069123,36.73404545,70.129632,Yellow,light,Dull
#CAAA19,49.09468476,77.62461084,70.465288,Orange/Yellow,light,Bright
#6A8C43,87.42823762,35.08364113,54.367462,Yellow,Mid-Value,Dull
#7E5093,281.8922273,29.4714092,41.770435,Purple,Mid-Value,Dull
#EBC988,39.1736583,71.29499822,82.519345,Orange,Lightest,Bright
#969063,52.28271374,20.644246,59.4596,Orange/Yellow,Mid-Value,Dullest
#BB8543,33.33585796,47.2086283,59.885057,Orange,Mid-Value,Medium
#E98C8C,0.552477967,68.39354053,68.271032,Red,light,Bright
#D56B53,11.21423041,60.75660073,57.582094,Red,Mid-Value,Medium
#B5AEA6,33.71038875,9.63594825,71.775945,Orange,light,Dullest
#C6333A,357.1005027,59.1346688,45.333146,Red/Purple,Mid-Value,Medium
#B59266,33.6800638,34.74928577,63.033466,Orange,light,Dull
#84A3AD,193.5901034,19.95195718,65.323267,Green/Blue,light,Dullest
#323E25,89.46076241,25.81266783,24.802495,Yellow,Dark,Dull
#6B5F5A,19.15611895,8.639227426,41.589276,Red/Orange,Mid-Value,Dullest
#887268,17.9547544,13.06997583,49.895129,Red/Orange,Mid-Value,Dullest
#A99F98,23.52914353,8.74121937,66.237444,Red/Orange,light,Dullest
#8CBCB2,166.9203224,26.41223248,72.9682,Green,light,Dull
#004A76,202.1734073,100,30.065916,Green/Blue,Dark,Brightest
#715442,22.8092172,26.51365568,38.400006,Red/Orange,Dark,Dull
#AFA47C,46.81135198,23.91027184,67.404608,Orange/Yellow,light,Dull
#D69E53,34.40460574,62.23802172,69.309949,Orange,light,Bright
#E4B756,41.19424998,72.87875733,76.969609,Orange,light,Bright
#254C87,215.7828899,56.75670883,32.852934,Green/Blue,Dark,Medium
#7D6C5D,27.94975028,14.41971882,47.066493,Red/Orange,Mid-Value,Dullest
#BBA69A,21.24303321,20.0716298,69.740276,Red/Orange,light,Dullest
#68908C,174.1210709,15.80883133,56.964661,Green/Blue,Mid-Value,Dullest
#A1B6B2,168.5358631,12.56257729,72.416684,Green,light,Dullest
#F5745F,8.199500267,88.71967416,64.050649,Red,light,Brightest
#9A4C49,2.198036214,35.24179383,42.32731,Red,Mid-Value,Dull
#DA766B,5.986834077,60.68524624,60.945631,Red,Mid-Value,Medium
#DAA7AA,355.7036917,41.16793174,73.232801,Red/Purple,light,Medium
#C4A160,39.02195021,45.8190517,68.221233,Orange,light,Medium
#3C3D40,218.0520015,3.287779501,26.126075,Green/Blue,Dark,Dullest
#B87B5B,20.67017523,39.45525757,57.36911,Red/Orange,Mid-Value,Dull
#A5886F,27.5471119,22.91690038,58.850395,Red/Orange,Mid-Value,Dull
#CE807F,1.086747427,45.24482094,62.04786,Red,light,Medium
#56683E,86.0300586,25.08029599,41.773118,Yellow,Mid-Value,Dull
#B03A42,355.6323135,50.40974298,42.333342,Red/Purple,Mid-Value,Medium
#B39A66,40.04856421,33.767402,64.792936,Orange,light,Dull
#A99CA4,320.6085361,7.316575479,65.741396,Red/Purple,light,Dullest
#B79679,28.20788592,30.47519244,64.676223,Red/Orange,light,Dull
#D9B492,28.24393369,48.86266242,75.858974,Red/Orange,light,Medium
#9F8790,336.8815476,11.24270034,58.935938,Red/Purple,Mid-Value,Dullest
#D9C279,45.65118161,55.89747937,78.924452,Orange/Yellow,light,Medium
#9B6F55,22.31058602,29.17801834,50.942707,Red/Orange,Mid-Value,Dull
#47312B,13.30053048,24.71684287,23.045093,Red,Dark,Dull
#A0413B,3.726755653,45.71913182,40.695835,Red,Dark,Medium
#004060,200.0651621,100,24.169401,Green/Blue,Dark,Brightest
#1E2430,222.4502821,22.08242548,14.282395,Green/Blue,Darkest,Dull
#557B8D,199.3103307,24.74465706,49.794407,Green/Blue,Mid-Value,Dull
#637AA2,217.9569594,25.38978417,50.994148,Green/Blue,Mid-Value,Dull
#00606F,188.1202169,100,37.094629,Green/Blue,Dark,Brightest
#A5927F,30.43530752,17.28321225,62.03751,Orange,light,Dullest
#D0294A,348.2403233,66.52831782,46.533837,Red/Purple,Mid-Value,Bright
#819797,178.1909206,9.779087034,61.053771,Green/Blue,light,Dullest
#99948D,33.08140501,5.826728058,61.64349,Orange,light,Dullest
#55492C,43.44897609,31.62378345,31.782204,Orange,Dark,Dull
#6C372C,10.72452723,42.24668937,29.980787,Red,Dark,Medium
#909D97,150.962659,5.948626301,63.705563,Green,light,Dullest
#BC8381,2.120006303,31.13253942,60.520829,Red,Mid-Value,Dull
#CC943F,36.15095255,58.53208663,65.58651,Orange,light,Medium
#BD9E81,28.70729159,31.52378472,67.236065,Red/Orange,light,Dull
#AB724B,24.07365561,39.11778112,53.287233,Red/Orange,Mid-Value,Dull
#214576,214.7758808,56.0097349,29.169884,Green/Blue,Dark,Medium
#405879,214.7536388,30.82634785,36.844613,Green/Blue,Dark,Dull
#688A9A,199.2562864,19.96002922,55.580525,Green/Blue,Mid-Value,Dullest
#8C93B2,228.8420324,19.5550391,61.623691,Green/Blue,light,Dullest
#4C6973,195.2991408,20.5205717,42.858507,Green/Blue,Mid-Value,Dullest
#392F2B,14.82326766,13.08779386,20.41236,Red,Darkest,Dullest
#B9997B,29.15024331,31.14870873,65.61927,Red/Orange,light,Dull
#043B65,206.1367988,90.95052512,24.187285,Green/Blue,Dark,Brightest
#6A666A,300.1994788,1.681515194,43.828131,Purple,Mid-Value,Dullest
#53778B,201.7447303,25.38554103,48.3054,Green/Blue,Mid-Value,Dull
#9A6045,19.13268306,38.17843835,46.651684,Red/Orange,Mid-Value,Dull
#AC5533,16.66300826,54.23322582,46.485917,Red/Orange,Mid-Value,Medium
#B67938,30.85349746,52.58985824,56.013447,Orange,Mid-Value,Medium
#7E7456,45.52773473,19.01501587,49.28458,Orange/Yellow,Mid-Value,Dullest
#5E4C44,18.86343783,16.2052428,34.070159,Red/Orange,Dark,Dullest
#E96F57,9.818048078,77.08344369,61.28065,Red,light,Bright
#5C6E8A,217.2927581,20.04853035,46.109363,Green/Blue,Mid-Value,Dullest
#D4C887,50.15246283,47.49223641,80.276242,Orange/Yellow,light,Medium
#4B2130,338.4307864,38.48055433,19.579217,Red/Purple,Darkest,Dull
#E3C16E,42.39186392,67.77619252,79.473125,Orange,light,Bright
#123546,200.0329091,58.30823029,20.698983,Green/Blue,Darkest,Medium
#7F6461,6.53492988,13.37502897,45.126712,Red,Mid-Value,Dullest
#89849D,251.061125,11.46726732,56.573042,Blue,Mid-Value,Dullest
#484D74,233.4595579,23.18730473,34.095,Green/Blue,Dark,Dull
#433C6C,248.8464612,28.0477642,28.475465,Blue,Dark,Dull
#D88B80,7.2634194,53.49588538,65.688274,Red,light,Medium
#D7B17F,34.35220725,52.26583578,74.709042,Orange,light,Medium
#D59D98,5.097671104,42.29460669,70.14216,Red,light,Medium
#006C54,166.5678684,100,38.994841,Green,Dark,Brightest
#950E25,349.8811529,82.24795171,31.605054,Red/Purple,Dark,Brightest
#AF896D,25.4057213,29.23263944,60.174151,Red/Orange,Mid-Value,Dull
#75754B,60.38216206,22.14327041,48.569099,Yellow,Mid-Value,Dull
#DEA57E,24.21376712,59.2482972,72.299224,Red/Orange,light,Medium
#C59FAE,335.9134574,24.82207799,69.401968,Red/Purple,light,Dull
#B13A48,352.9022711,50.23619762,42.651819,Red/Purple,Mid-Value,Medium
#743E24,19.32291846,52.28417273,32.508251,Red/Orange,Dark,Medium
#005574,195.9458724,100,33.034656,Green/Blue,Dark,Brightest
#8FA183,96.82041407,13.58584684,64.205642,Yellow/Green,light,Dullest
#DFC4A3,32.41204752,49.29925992,80.786402,Orange,light,Medium
#BF902C,40.53294301,62.39343843,62.814076,Orange,light,Bright
#B88459,27.34670089,39.95477911,59.518688,Red/Orange,Mid-Value,Dull
#A0814D,37.81727989,35.01259233,56.143887,Orange,Mid-Value,Dull
#905942,17.70262044,36.87847464,43.687639,Red/Orange,Mid-Value,Dull
#926E52,26.53311412,27.91739183,49.691451,Red/Orange,Mid-Value,Dull
#D79912,40.98455149,84.282507,67.620188,Orange,light,Brightest
#6D1825,351.0941265,62.83541305,23.931283,Red/Purple,Dark,Bright
#8D7646,40.14232593,33.69309058,50.900765,Orange,Mid-Value,Dull
#64755E,104.5382014,10.48220465,47.412991,Yellow/Green,Mid-Value,Dullest
#CB7E8B,349.7769194,42.66516478,61.435958,Red/Purple,light,Medium
#478352,130.2099548,29.32886382,49.987006,Green,Mid-Value,Dull
#35757F,187.6855541,40.56549318,45.99781,Green/Blue,Mid-Value,Dull
#5E759A,216.9584226,23.9764271,49.096439,Green/Blue,Mid-Value,Dull
#628993,192.1490061,19.73958219,54.868346,Green/Blue,Mid-Value,Dullest
#99A7B0,203.3807262,12.90712409,67.938507,Green/Blue,light,Dullest
#95996C,65.05347924,18.00726211,62.01972,Yellow,light,Dullest
#008773,171.0480906,100,50.145471,Green/Blue,Mid-Value,Brightest
#414176,239.8514502,28.62703771,30.19107,Green/Blue,Dark,Dull
#BBA256,45.17599152,42.78103768,67.472808,Orange/Yellow,light,Medium
#A99B96,15.98666013,10.40723439,65.181454,Red/Orange,light,Dullest
#1D4D8B,213.6758763,65.46743407,32.994682,Green/Blue,Dark,Bright
#E6D2B7,34.88556203,49.0823455,85.431392,Orange,Lightest,Medium
#74B0B0,180.59156,27.81981326,68.045733,Green/Blue,light,Dull
#D9BD9E,31.85331444,43.83393999,78.384799,Orange,light,Medium
#6C6182,259.7358555,14.69471552,43.327434,Blue,Mid-Value,Dullest
#999470,52.82436769,16.9210473,61.105683,Orange/Yellow,light,Dullest
#E4BE6F,40.62705548,68.85825661,78.952529,Orange,light,Bright
#A03150,343.4564376,52.62072347,38.438159,Red/Purple,Dark,Medium
#515073,241.0892906,17.97575265,35.641335,Blue,Dark,Dullest
#E9AFB3,355.8718181,57.8757286,77.018836,Red/Purple,light,Medium
#1E3049,214.1337939,42.06922605,19.831126,Green/Blue,Darkest,Medium
#8C766A,21.5493201,13.91502755,51.531229,Red/Orange,Mid-Value,Dullest
#927E8B,321.2605932,8.426039322,55.249033,Red/Purple,Mid-Value,Dullest
#DBC1BC,9.929194903,30.11785672,80.244835,Red,light,Dull
#E1B6AF,8.533592258,45.79887406,77.824596,Red,light,Medium
#AA605E,1.222145467,31.22885415,49.351502,Red,Mid-Value,Dull
#563528,16.99446935,36.38376725,25.868382,Red/Orange,Dark,Dull
#C57F61,18.13005797,46.51130269,60.065474,Red/Orange,Mid-Value,Medium
#212A3E,221.7726119,31.12365406,17.217479,Green/Blue,Darkest,Dull
#D8947E,14.32593218,53.50890789,67.529697,Red,light,Medium
#D6806A,12.55054055,56.98267447,62.525412,Red,light,Medium
#54557A,239.4718255,18.20937403,37.63283,Green/Blue,Dark,Dullest
#7A8577,109.159721,5.558890468,54.60583,Yellow/Green,Mid-Value,Dullest
#999194,340.675086,3.478087824,61.099063,Red/Purple,light,Dullest
#8CA2A2,180.8485825,10.65345738,65.113693,Green/Blue,light,Dullest
#777B4D,65.22301411,22.798337,50.333035,Yellow,Mid-Value,Dull
#9D2330,353.5953678,63.2903818,35.278126,Red/Purple,Dark,Bright
#C62B43,350.8347795,64.23801497,44.601794,Red/Purple,Mid-Value,Bright
#B94159,348.0225408,47.82792055,45.658433,Red/Purple,Mid-Value,Medium
#702A27,2.439417984,47.53515918,27.705166,Red,Dark,Medium
#477687,195.7931581,30.95595159,47.152007,Green/Blue,Mid-Value,Dull
#484346,322.6385053,3.826555329,29.121482,Red/Purple,Dark,Dullest
#6C8B95,195.0757742,16.37721361,56.151642,Green/Blue,Mid-Value,Dullest
#7D7F99,237.048363,11.78592845,54.012885,Green/Blue,Mid-Value,Dullest
#696A88,237.2190375,12.78741008,46.100765,Green/Blue,Mid-Value,Dullest
#6A5546,24.56183619,20.19386766,37.967676,Red/Orange,Dark,Dullest
#AC9A88,30.38606173,18.06954621,64.933083,Orange,light,Dullest
#884458,342.0129028,33.53889172,38.089731,Red/Purple,Dark,Dull
#A6441A,18.02725426,72.21217459,41.868481,Red/Orange,Mid-Value,Bright
#AB3A3E,357.9653095,48.92066253,41.425368,Red/Purple,Mid-Value,Medium
#527585,198.7218498,23.51943596,47.604446,Green/Blue,Mid-Value,Dull
#BBAD9E,29.37010469,17.90241436,71.603858,Red/Orange,light,Dullest
#008F9F,186.0287644,100,54.226295,Green/Blue,Mid-Value,Brightest
#D3A882,28.43712549,48.39203767,72.081907,Red/Orange,light,Medium
#895AA5,278.0855573,29.18134693,46.408146,Purple,Mid-Value,Dull
#263831,158.782895,19.54669573,22.002115,Green,Dark,Dullest
#CD565E,355.7147459,54.97561355,52.489487,Red/Purple,Mid-Value,Medium
#3F3C2B,50.96179215,18.4107808,25.458079,Orange/Yellow,Dark,Dullest
#E25B7A,346.270695,70.7619498,57.285331,Red/Purple,Mid-Value,Bright
#837B7B,1.191445482,3.127836206,52.439037,Red,Mid-Value,Dullest
#BFA764,44.37222526,41.74417529,69.377571,Orange,light,Medium
#008CA6,189.3663243,100,52.540829,Green/Blue,Mid-Value,Brightest
#A77248,26.49407239,39.83126461,52.841151,Red/Orange,Mid-Value,Dull
#992044,342.0788896,65.58343534,34.651329,Red/Purple,Dark,Bright
#C7AD91,31.3356847,32.47183877,72.413881,Orange,light,Dull
#48396E,257.2267467,31.56605006,28.171953,Blue,Dark,Dull
#46332A,20.81007412,25.10392112,23.484924,Red/Orange,Dark,Dull
#C5CAA9,69.64589654,24.05459699,80.398493,Yellow,light,Dull
#B1D0C2,151.9689259,25.40710491,81.174762,Green,Lightest,Dull
#7C7F67,68.95674649,10.51729926,52.589696,Yellow,Mid-Value,Dullest
#921A2F,349.1898269,69.78673923,32.030384,Red/Purple,Dark,Bright
#CE495D,350.9264099,57.58409878,50.460005,Red/Purple,Mid-Value,Medium
#836B5F,19.75593853,15.87218747,47.360883,Red/Orange,Mid-Value,Dullest
#144375,210.7707834,69.75962754,28.262709,Green/Blue,Dark,Bright
#807A93,254.7900254,10.48965413,52.715153,Blue,Mid-Value,Dullest
#28344B,219.6784185,30.45456684,21.671393,Green/Blue,Dark,Dull
#E9D29E,41.38936971,63.16266047,84.974608,Orange,Lightest,Bright
#D1BE8B,44.07989455,43.71258934,77.708294,Orange,light,Medium
#788698,213.4584717,13.57683276,55.560255,Green/Blue,Mid-Value,Dullest
#D1B19D,22.78871858,36.40777951,74.557904,Red/Orange,light,Dull
#E9BC8F,29.88725192,66.99817863,79.285086,Red/Orange,light,Bright
#E1BB66,41.45037696,67.19487012,77.585824,Orange,light,Bright
#CCA058,37.35048125,53.5494652,68.765227,Orange,light,Medium
#81583C,24.50459691,36.37601083,41.528489,Red/Orange,Mid-Value,Dull
#235C87,205.8186877,58.7985524,37.627219,Green/Blue,Dark,Medium
#DAB876,39.2569171,58.11154529,76.470114,Orange,light,Medium
#90B2A0,147.6355126,17.91335906,69.761644,Green,light,Dullest
#CD7F72,8.579563254,48.08200161,61.369807,Red,light,Medium
#871F3A,344.387702,62.44013769,30.590768,Red/Purple,Dark,Bright
#D54A4A,0.091782054,62.31011587,51.45387,Red,Mid-Value,Bright
#DFCCB2,34.51334028,41.96659909,83.140831,Orange,Lightest,Medium
#008668,166.6008065,100,49.539062,Green,Mid-Value,Brightest
#679CA0,184.4594452,23.16049533,60.986144,Green/Blue,Mid-Value,Dull
#918F92,289.1832143,1.590570209,59.759636,Purple,Mid-Value,Dullest
#DBB998,30.0958152,48.28286081,77.541164,Orange,light,Medium
#676361,12.38253309,2.812296055,42.347831,Red,Mid-Value,Dullest
#267F94,191.3787288,59.1217587,49.366894,Green/Blue,Mid-Value,Medium
#DCBFC4,348.9381344,29.08563164,80.068211,Red/Purple,light,Dull
#D83654,348.7376812,67.62874768,49.464361,Red/Purple,Mid-Value,Bright
#CB6569,357.935943,49.65526385,55.299811,Red/Purple,Mid-Value,Medium
#675784,261.1244304,20.05949503,40.495018,Blue,Dark,Dullest
#B44360,344.625472,45.85628164,45.146495,Red/Purple,Mid-Value,Medium
#9BA787,82.85500131,15.38823037,67.025007,Yellow,light,Dullest
#6B755D,84.57257662,11.4010319,47.876952,Yellow,Mid-Value,Dullest
#73A08E,155.924028,19.13040157,62.425353,Green,light,Dullest
